Regione;Imprese_0_9;Imprese_10_49;Imprese_50_249;Imprese_250;Addetti_0_9;Addetti_10_49;Addetti_50_249;Addetti_250;Dimensione_media
Piemonte;95.4;4.0;0.5;0.1;43.2;17.6;12.7;26.6;4.0
Valle d'Aosta;95.9;3.6;0.5;0.1;58.4;18.8;14.3;8.5;3.2
Liguria;96.3;3.3;0.3;0.1;54.6;17.0;9.6;18.7;3.3
Lombardia;94.1;5.0;0.7;0.1;35.2;19.2;15.5;30.2;4.8
Trentino-Alto Adige;93.2;5.9;0.7;0.1;44.0;24.6;16.8;14.5;4.2
Veneto;94.0;5.3;0.7;0.1;42.5;22.9;15.2;19.4;4.2
Friuli Venezia Giulia;94.6;4.7;0.6;0.1;42.0;20.0;13.9;24.1;4.2
Emilia-Romagna;94.5;4.8;0.6;0.1;41.2;20.4;14.0;24.5;4.2
Toscana;95.1;4.5;0.4;0.1;52.9;22.5;10.8;13.8;3.4
Umbria;95.3;4.2;0.4;0.1;52.0;21.3;11.8;14.8;3.4
Marche;94.8;4.6;0.5;0.1;52.9;24.2;12.7;10.2;3.4
Lazio;95.9;3.6;0.5;0.1;37.3;14.7;11.0;37.1;4.3
Abruzzo;96.1;3.5;0.3;0.1;55.7;19.5;11.2;13.6;3.1
Molise;96.6;3.2;0.2;0.0;67.6;22.6;9.0;0.8;2.5
Campania;95.8;3.7;0.4;0.0;56.5;22.4;11.5;9.5;3.0
Puglia;96.4;3.3;0.3;0.0;60.4;19.7;9.7;10.1;2.9
Basilicata;96.4;3.3;0.3;0.0;57.6;19.4;9.3;13.8;2.9
Calabria;97.3;2.5;0.2;0.0;69.4;17.8;8.5;4.3;2.4
Sicilia;96.7;3.0;0.3;0.0;64.1;19.0;8.9;8.0;2.7
Sardegna;96.6;3.0;0.3;0.0;63.5;18.8;10.1;7.6;2.8
