Tratta Ferroviaria;Numero viaggiatori al giorno
Fiumicino Aeroporto-Fara Sabina;75000
Roma Nord-Viterbo;70000
Saronno-Milano-Lodi;65000
Roma Ostiense-Viterbo;65000
Treviglio-Milano-Varese;57000
Roma San Paolo-Ostia;55000
Napoli-Sorrento (Circumvesuviana);50000
Roma Termini-Frosinone;42000
Napoli-Torregaveta (Circumflegrea e Cumana);42000
Roma Termini-Castelli Romani (FL4);42000
Milano-Seveso-Mariano/Camnago;41000
Treviglio-Milano-Novara;40000
Roma Termini-Nettuno;40000
Roma Termini-Civitavecchia;40000
Laveno-Varese-Saronno-Milano;38000
Rho-Milano-Como-Chiasso;37000
Milano-Pavia-Alessandria;36000
Milano-Brescia-Verona;32000
Saronno-Seregno-Milano-Albairate;32000
Napoli-Baiano (Circumvesuviana);30000
Padova-Venezia Mestre;30000
Milano-Saronno-Como;28000
Milano-Carnate-Lecco;28000
Genova Voltri-Genova Nervi;25000
Milano-Malpensa;25000
Bergamo-Carnate-Milano;24000
Milano-Seveso-Asso;22000
Pisa-Firenze;22000
Napoli-Sarno (Circumvesuviana);22000
Milano-Lecco-Sondrio-Tirano;21000
